FID,capa,CHAPA,ORDEN,FAMILIA,ESPECIE,NOMB_COMUN,NOTAS,ENLACE,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,ABC,SÍ,54.0,Bombacaceae,Chorisia speciosa,Palo borracho,"Árbol caducifolio, con la base de su tronco engrosada y con fuertes espinas. Tiene una floración espectacular, con grandes flores de hasta 15 cm, de pétalos de color rosa oscuro en exterior y crema en interior. Oriunda de Brasil, Paraguay y Argentina.", ,377311.389,3150232.62,-16.253277543,28.4729280569
1.0,ABC,SÍ,44.0,Caesalpiniaceae,Delonix regia,Flamboyant,"Árbol  caducifolio de porte aparasolado muy utilizado en jardinería. Espectacular por sus flores rojas, matizadas, que aparecen normalmente cuando el árbol aún no tiene hojas.Sus frutos son legumbres usadas como sonajero.Oriunda de Madagascar.", ,377265.837294,3150233.92567,-16.2537429064,28.4729355516
2.0,ABC,SÍ,13.0,Fabaceae,Erythrina caffra,Árbol coral,"Árbol de floración naranja-escarlata espectacular, con flores de aspecto de porcelana. Oriunda de África del sur.", ,377163.546,3150108.508,-16.2547742421,28.471794084
3.0,ABC,SÍ,5.0,Bignoniaceae,Jacaranda mimosaefolia,Jacaranda,"Árbol de floración azul-violeta muy espectacular, que es utilizado por su interés ornamental en la jardinería de las zonas cálidas de la islas. Oriunda de Brasil, Argentina, Uruguay y América Tropical.", ,377232.646,3149990.898,-16.2540559896,28.4707392218
4.0,ABC,SÍ,5.0,Bignoniaceae,Jacaranda mimosaefolia,Jacaranda,"Árbol de floración azul-violeta muy espectacular, que es utilizado por su interés ornamental en la jardinería de las zonas cálidas de la islas. Oriunda de Brasil, Argentina, Uruguay y América Tropical.", ,377317.566,3150261.693,-16.2532175535,28.4731910077
5.0,ABC,SÍ,76.0,Phytolaccaceae,Phytolacca dioica,Ombú,"Árbol portentoso de más de 10 m. de alto, con tronco muy ensanchado.Hojas de color verde lustroso, con el nervio central marcado. Inflorescencias blanquecinas, péndulas, y frutos en forma de baya amarillenta.Oriunda de Argentina, Uruguay y Brasil", ,377308.079,3150141.401,-16.2533016316,28.472104539
6.0,ABC,NO,67.0,Fabaceae,Tipuana tipu,Palo rosa,"Árbol caducifolio, con hojasimparipinnadas de color verde amarillento. Inflorescencias terminales con flores de color amarillo o anaranjado. El fruto alado, es una sámara indehiscente. Oriunda de Brasil, Bolivia y Argentina", ,377217.355,3150183.18,-16.2542326513,28.4724730312
7.0,ABC,Sí,49.0,Bombacaceae,Ceiba pentandra,Ceiba,"Árbol excelso de hasta 30 m. de altura, con tronco liso y espinoso. Hojas caducifolias de súbita aparición. Sus frutos contienen una lana, utilizada como aislante y de sus semillas aceite comestible y como combustible. Oriunda de América tropical.", ,377257.918,3150268.154,-16.2538274346,28.4732436995
8.0,ABC,SÍ,31.0,Apocynaceae,Thevetia peruviana,Cascabel,"Arbusto de frutos tóxicos y llamativas flores amarillas. Relacionada botánicamente con la adelfa, es conocida también como ""adelfa amarilla"". Se planta aislada o en setos. Oriunda de Méjico y América tropical.", ,377169.522,3150239.019,-16.2547271272,28.4729724438
9.0,ABC,SÍ,18.0,Bignoniaceae,Spathodea campanulata,Tulipero del Gabón,"Árbol muy utilizado en la jardinería clásica canaria, especialmente en zonas cálidas por sus espectaculares flores rojas. Más rara es la variedad de flores amarillas o anaranjadas. Oriunda de África tropical occidental.", ,377293.022,3150083.771,-16.2534492696,28.4715830394
10.0,ABC,SÍ,18.0,Bignoniaceae,Spathodea campanulata,Tulipero del Gabón,"Árbol muy utilizado en la jardinería clásica canaria, especialmente en zonas cálidas por sus espectaculares flores rojas. Más rara es la variedad de flores amarillas o anaranjadas. Oriunda de África tropical occidental.", ,377159.539,3150200.409,-16.2548249668,28.4726230671
11.0,ABC,SÍ,18.0,Bignoniaceae,Spathodea campanulata,Tulipero del Gabón,"Árbol muy utilizado en la jardinería clásica canaria, especialmente en zonas cálidas por sus espectaculares flores rojas. Más rara es la variedad de flores amarillas o anaranjadas. Oriunda de África tropical occidental.", ,377144.398,3150122.819,-16.2549713269,28.4719214291
12.0,ABC,NO,66.0,Mimosaceae,Pithecellobium dulce,Guamochil,"Árbol de hasta 20 m. de alto, de corteza gris y una parv de espinas en la base de las hojas. Tiene interés maderero, forrajero y de sus frutos en vaina se obtiene una pulpa comstible agridulce, que rodea las semillas. Oriunda de América tropical.", ,377214.558,3150167.916,-16.2542595901,28.4723350177
13.0,ABC,SÍ,60.0,Meliaceae,Cedrela odorata,Cedro de Cuba,"Árbol de corteza gris-marrón, con fisuras irregulares. Hojas pinnadas agrupadas en el extremo de las ramas, de las que penden racimos los frutos colgantes: una cápsula leñosa que se abre en 5 valvas. Uso en caja de puros. Oriunda de América Central.", ,377249.695,3150084.261,-16.2538918193,28.4715833822
14.0,ABC,SÍ,17.0,Verbenaceae,Citharexylum quadrangulare,Bella sombra,"Árbol con aspecto de limonero, reconocible por sus inflorescencias, racimos axilares de color blanco. Oriundo de las Antillas y norte de Sudamérica.", ,377130.43,3150117.379,-16.2551134017,28.4718710193
15.0,ABC,SÍ,21.0,Ginkgoaceae,Ginkgo biloba,Ginkgo,"Árbol que puede alcanzar los 30 metros de altura, considerado por su rareza y antigüedad botánica, un fósil viviente. Las hojas bilobuladas, caducifolias, tiene propiedades medicinales. El fruto es comestible. Oriunda de China.", ,377110.454,3150147.416,-16.2553206212,28.4721402051
16.0,ABC,SÍ,30.0,Combretaceae,Terminalia catappa,Almendrón,"Árbol de frutos comestibles de los que además se obtiene aceite también comestible. Utilizado en zonas próximas al mar por su resistencia a la salinidad. Oriunda de Madagascar, India y Malasia.", ,377143.752,3150215.031,-16.2549877601,28.4727535354
17.0,ABC,SÍ,72.0,Caesalpiniaceae,Caesalpinea cacalaco,Cascalote,"Árbol de unos 8 m. de alto, con espinas. Inflorescencias de llamativas flores amarillas, matizadas de rojo. De sus frutos se obtienen sustancias  colorantes. Oriunda del sur de Méjico.", ,377254.668,3150198.195,-16.2538531717,28.4726120483
18.0,ABL,SÍ,46.0,Arecaceae,Chamaerops humilis,Palmito,"Palmerita o ""palmito"" con numeroso troncos y hojas abanicadas de color verde azulado y pecíolo espinoso. El cogollo es comestible como ensalada. Oriunda de la región mediterránea excepto Egipto.", ,377231.705,3150248.253,-16.2540930301,28.4730616343
19.0,ABL,SÍ,61.0,Arecaceae,Howea forsteriana,Kentia,"Muy popular, por ser una de las palmeras más utilizadas como ornamental, especialmente en interiores. Estípite no ensanchado, de color verde al principio y con anillas. oriunda de la isla de Lord Howe.", ,377211.556,3150093.527,-16.2542823195,28.4716634112
20.0,ABL,SÍ,2.0,Arecaceae,Phoenix canariensis,Palmera canaria,"Endemismo canario, símbolo vegetal del archipiélago. Resulta nuestra mejor embajadora en todo el mundo templado por su magnífico porte ornamental. Palmera dioica con numerosos usos tradicionales, miel de palma, cestería, colmenas, etc.", ,377300.051,3150093.576,-16.2533785271,28.4716721863
21.0,ABL,SÍ,2.0,Arecaceae,Phoenix canariensis,Palmera canaria,"Endemismo canario, símbolo vegetal del archipiélago. Resulta nuestra mejor embajadora en todo el mundo templado por su magnífico porte ornamental. Palmera dioica con numerosos usos tradicionales, miel de palma, cestería, colmenas, etc.", ,377169.049,3150102.688,-16.2547174194,28.47174208
22.0,ABL,SÍ,34.0,Arecaceae,Phoenix reclinata,Palmera de Senegal,"Palmera de troncos múltiples, como puede observarse en el ejemplar que crece en el Parque García Sanabria. Oriunda de África tropical.", ,377161.337,3150211.929,-16.2548078323,28.4727271987
23.0,ABL,SÍ,71.0,Arecaceae,Dypsis lutescens,Palma frutos de oro,"Palmera que crece en manojos o fascículos con varios estípites, de hasta 9 m. de alto, anillados y de color amarillento. Muy utilizada como ornamental, incluso en condiciones de interior. Oriunda de Madagascar.", ,377098.535,3150190.655,-16.2554469639,28.4725292917
24.0,ABL,SÍ,4.0,Dracaenaceae,Dracaena draco,Dracaena draco,"Símbolo vegetal de la Isla de Tenerife. Cultivado desde hace siglos por su interés ornamental y las propiedades casí míticas de la ""sangre de drago"", usada como fortaleciente de encías y tinte. Endemismo de Canarias, Madeira y Cabo Verde.", ,377254.95,3150238.819,-16.2538546209,28.4729786863
25.0,ABL,Sí,74.0,Arecaceae,Cocos nucifera,Cocotero,"Palmera con tronco frecuentemente inclinado, con anillos espaciados. Hojas de color verde amarillento y frutos cubiertos de fibras, con pulpa comestible, los apreciados cocos. Planta con numerosos usos. Oriunda de Melanesia tropical.", ,377312.963,3150169.633,-16.2532547583,28.4723597785
26.0,ABL,SÍ,35.0,Cycadaceae,Cycas circinalis,Sagú,"Típica ""palmerita"" de la familia de las cicas, muy utilizada en jardinería. Oriunda del sur de la India, Ceilán, Sumatra y Filipinas.", ,377167.484,3150210.786,-16.2547449306,28.472717463
27.0,ABL,SÍ,9.0,Arecaceae,Livistona chinensis,Palmera china de abanico,"Palmera de hojas en forma de abanico, también utilizada como planta de interior. Oriunda de la China, Japón, islas de Ryukyu y Taiwán.", ,377197.207,3150065.54,-16.2544258818,28.4714094908
28.0,ABL,SÍ,78.0,Arecaceae,Roystonea regia,Palmera real,Palmera de usop ornamental con portes de jasta 15 m. de alto. Estípite de color blanco-grisáceo liso y con la base de las hojas formando un capitel de color  verde. En el parque a lo largo de diagonales del paseo  Domingo Pérez Minik. Oriunda de Cuba, ,377218.028,3150154.102,-16.2542226783,28.4722106801
29.0,ABL,SÍ,24.0,Arecaceae,Washingtonia filifera,Palmera abanico californiana,"Palmera con estípe más grueso que la especie robusta, pero también con grandes hojas en forma de abanico y con uso frecuente en jardinería. Oriunda de Méjico, Arizona y Baja California.", ,377139.279,3150156.471,-16.2550271967,28.4722246392
30.0,ABL,SÍ,23.0,Arecaceae,Washingtonia robusta,Palmera abanico mejicana,Palmera estilizada con grandes hojas en forma de abanico. Utilizada en muchas regiones del mundo por su interés ornamental. Crece rápidoy se planta aisladao en alineación.Oriunda del noroeste de Méjico y Baja California., ,377143.238,3150174.154,-16.2549886495,28.4723845925
31.0,ABL,SÍ,63.0,Arecaceae,Veicthia merrillii,Palma de Manila,"Palmera de estípite liso, grisáceo y con anillos muy juntos. Sus inflorescencias crecen debajo del capitel. Oriunda de Filipinas.", ,377236.062,3150267.267,-16.2540505582,28.4732336365
32.0,ABL,SÍ,64.0,Arecaceae,Archontophoenix alexandrae,Palmera elegante,"Palmera de hasta 10 metros, con tronco liso y no ensanchado en la base. Oriunda del este de Australia.", ,377204.733,3150140.434,-16.2543570034,28.4720860809
33.0,ABL,SÍ,8.0,Arecaceae,Caryota urens,Palmera cola de pescado,"Palmera de porte elegante, antaño rara en la isla, se ha extendido en jardinería por su interés ornamental. De su savia se obtienen bebidas alcohólicas por fermentación. Oriunda de la India, Sri Lanka y Birmania.", ,377210.651,3150060.234,-16.2542880132,28.4713628732
34.0,ABL,NO,27.0,Cycadaceae,Macrozamia moreii,Macrozamia,"""Palmerita"" de la familia de las cicas y de las palmeras sagú, utilizado en jardinería por su porte palmeriforme, muy estético. Oriunda del este de Australia.", ,377143.316,3150192.6,-16.2549898204,28.4725510658
35.0,ABL,SÍ,62.0,Arecaceae,Hyophorbe verschaffeltii,Mascarena,"Palmera de estípite fusiforme, liso y anillado. Las bases de las hojas ensanchadas, conforman un capitel verdoso de base engrosada. Oriunda de las Islas Mascarenas.", ,377202.943,3150108.525,-16.2543718828,28.4717979494
36.0,ABL,Sí,77.0,Araliaceae,Schefflera actinophylla,Árbol de los paraguas,"Árbol siempreverde muy ramificado, con las hojas palmaticompuestas de color verde oscuro, desplegadas a modo de paraguas. Flores sésiles, rojizas, dispuestas en espigas apicales actiniformes, como un pulpo. Oriunda de Australia, Java y Nueva Guinea", ,377292.343,3150117.808,-16.2534598303,28.4718901426
37.0,ABP,SÍ,33.0,Sterculiaceae,Brachychiton populneus,Brachichito blanco,Árbol con flores agrupadas en racimos de color crema. Oriunda de Australia., ,377150.773,3150222.612,-16.2549168627,28.4728226119
38.0,ABP,SÍ,51.0,Moraceae,Ficus microcarpa,Laurel de Indias,"Árbol de magnífica copa siempreverde, ampliamente utilizado en plazas de Canarias, como árbol de sombra. Los más antiguos de Canarias en la PLaza del Príncipe de Asturias y en los Llanos de Aridane en La Palma. Oriunda  de Asia tropical y Malasia.", ,377288.698,3150313.936,-16.2535179522,28.4736597574
39.0,ABP,SÍ,51.0,Moraceae,Ficus microcarpa,Laurel de Indias,"Árbol de magnífica copa siempreverde, ampliamente utilizado en plazas de Canarias, como árbol de sombra. Los más antiguos de Canarias en la PLaza del Príncipe de Asturias y en los Llanos de Aridane en La Palma. Oriunda  de Asia tropical y Malasia.", ,377095.991,3150148.698,-16.2554684688,28.4721504109
40.0,ABP,SÍ,48.0,Rutaceae,Casimiroa edulis,Sapote blanco,"Árbol con hojas digitadas y frutos comestibles, con forma redondeada, sabor dulce y ricos en vitamina A y C. Oriunda de Méjico, y Centroamérica.", ,377230.435,3150267.169,-16.2541080171,28.4732322221
41.0,ABP,SÍ,19.0,Caesalpiniaceae,Ceratonia siliqua,Algarrobo,"Árbol mediterráneo de hojas compuestas paripinnadas, cuyos frutos en forma de legumbre se utilizan como forraje. Oriunda del Mediterráneo oriental.", ,377130.091,3150145.768,-16.2551198923,28.4721271839
